Symbol,BaseSymbol,SynSymbol,SciName,CommonName,Family
CRPTP,CRPTC,CRPTP,Cryptantha pterocarya (Torr.) Greene var. purpusii Jeps.,,Boraginaceae
CRPU7,CRPU7,,Cryptantha pusilla (Torr. & A. Gray) Greene,low catseye,Boraginaceae
CRPU10,CRCIP,CRPU10,Cryptantha pustulosa (Rydb.) Payson,,Boraginaceae
CRRE5,CRRE5,,Cryptantha recurvata Coville,curvenut catseye,Boraginaceae
CRSE5,CRSE5,,Cryptantha setosissima (A. Gray) Payson,bristly catseye,Boraginaceae
CRSU14,CRCIJ,CRSU14,Cryptantha suffruticosa Piper,,Boraginaceae
CRTH,CRTH,,Cryptantha thyrsiflora (Greene) Payson,calcareous catseye,Boraginaceae
CR13xx,,,Cryptantha unknown sp.,,Boraginaceae
CRAC3,CRAC3,,Cryptogramma acrostichoides R. Br.,American rockbrake,Pteridaceae
CRCRA2,CRAC3,CRCRA2,Cryptogramma crispa (L.) R. Br. ex Hook. ssp. acrostichoides (R. Br.) Hultén,,Pteridaceae
CRYPT3,CRYPT3,,Cryptogramma R. Br.,rockbrake,Pteridaceae
CR14xx,,,Cryptogramma unknown sp.,,Pteridaceae
CUCI,CILAL,CUCI,Cucubertia citrullus L.,,Cucurbitaceae
CUxx,,,Cucubertia unknown sp.,,Cucurbitaceae
CUCUM,CUCUM,,Cucumis L.,melon,Cucurbitaceae
CUME,CUME,,Cucumis melo L.,cantaloupe,Cucurbitaceae
CUMED,CUME,CUMED,Cucumis melo L. var. dudaim (L.) Naud.,,Cucurbitaceae
CU2xx,,,Cucumis unknown sp.,,Cucurbitaceae
CUDI,CUDI,,Cucurbita digitata A. Gray,fingerleaf gourd,Cucurbitaceae
CUFO,CUFO,,Cucurbita foetidissima Kunth,buffalogourd pumpkin,Cucurbitaceae
CUCUR,CUCUR,,Cucurbita L.,gourd,Cucurbitaceae
CUPE,CUPE,,Cucurbita pepo L.,field pumpkin,Cucurbitaceae
CUPEP,CUPEP,,Cucurbita pepo L. var. pepo,field pumpkin,Cucurbitaceae
CUPET,CUPET,,Cucurbita pepo L. var. texana (Scheele) D. Decker,Texas gourd,Cucurbitaceae
CUTE,CUPET,CUTE,Cucurbita texana Scheele,,Cucurbitaceae
CU3xx,,,Cucurbita unknown sp.,,Cucurbitaceae
CUPHE,CUPHE,,Cuphea P. Br.,waxweed,Lythraceae
CU4xx,,,Cuphea unknown sp.,,Lythraceae
CUWR,CUWR,,Cuphea wrightii A. Gray,Wright's waxweed,Lythraceae
CUWRN,CUWR,CUWRN,Cuphea wrightii A. Gray var. nematopetala Bacig.,,Lythraceae
CUAR,HEAR22,CUAR,Cupressus arizonica Greene,,Cupressaceae
CUARA,HEAR22,CUARA,Cupressus arizonica Greene ssp. arizonica,,Cupressaceae
CU5xx,,,Cupressus unknown sp.,,Cupressaceae
CUAP,CUAP,,Cuscuta applanata Engelm.,Gila River dodder,Cuscutaceae
CUAP2,CUAP2,,Cuscuta approximata Bab.,alfalfa dodder,Cuscutaceae
CUAPU,CUAP2,CUAPU,Cuscuta approximata Bab. var. urceolata (Kunze) Yunck.,,Cuscutaceae
CUAR2,CUPEP2,CUAR2,Cuscuta arvensis Bey. ex Engelm.,,Cuscutaceae
CUCA2,CUPEP2,CUCA2,Cuscuta campestris Yunck.,,Cuscutaceae
CUCE,CUCE,,Cuscuta cephalanthi Engelm.,buttonbush dodder,Cuscutaceae
CUCO3,CUCO3,,Cuscuta coryli Engelm.,hazel dodder,Cuscutaceae
CUCU3,CUME4,CUCU3,Cuscuta curta (Engelm.) Rydb.,,Cuscutaceae
CUCU2,CUCU2,,Cuscuta cuspidata Engelm.,cusp dodder,Cuscutaceae
CUEP,CUEP,,Cuscuta epithymum (L.) L.,clover dodder,Cuscutaceae
CUEPA,CUAP2,CUEPA,Cuscuta epithymum (L.) L. ssp. approximata (Bab.) Rouy,,Cuscutaceae
CUFA,CUFA,,Cuscuta fasciculata Yunck.,clustered dodder,Cuscutaceae
CUGL2,CUPEG,CUGL2,Cuscuta glabrior (Engelm.) Yunck.,,Cuscutaceae
CUGLP,CUPEP3,CUGLP,Cuscuta glabrior (Engelm.) Yunck. var. pubescens (Engelm.) Yunck.,,Cuscutaceae
CUGL3,CUGL3,,Cuscuta glomerata Choisy,rope dodder,Cuscutaceae
CUGR,CUGR,,Cuscuta gronovii Willd. ex Schult.,scaldweed,Cuscutaceae
CUGRC2,CUME4,CUGRC2,Cuscuta gronovii Willd. ex Schult. var. curta Engelm.,,Cuscutaceae
CUGRG,CUGRG,,Cuscuta gronovii Willd. ex Schult. var. gronovii,love dodder,Cuscutaceae
CUGRL,CUGRG,CUGRL,Cuscuta gronovii Willd. ex Schult. var. latiflora Engelm.,,Cuscutaceae
CUGRS,CUGRG,CUGRS,Cuscuta gronovii Willd. ex Schult. var. saururi (Engelm.) MacMill.,,Cuscutaceae
CUIN,CUIN,,Cuscuta indecora Choisy,bigseed alfalfa dodder,Cuscutaceae
CUINN,CUINN,,Cuscuta indecora Choisy var. neuropetala (Engelm.) Hitchc.,bigseed dodder,Cuscutaceae
CUINW,CUWA2,CUINW,"Cuscuta indecora Choisy var. warneri (Yunck.) T. Beliz, ined.",,Cuscutaceae
CUSCU,CUSCU,,Cuscuta L.,dodder,Cuscutaceae
CULE,CULE,,Cuscuta leptantha Engelm.,slender dodder,Cuscutaceae
CUME4,CUME4,,Cuscuta megalocarpa Rydb.,bigfruit dodder,Cuscutaceae
CUPE3,CUPE3,,Cuscuta pentagona Engelm.,fiveangled dodder,Cuscutaceae
CUPEC2,CUPEP2,CUPEC2,Cuscuta pentagona Engelm. var. calycina Engelm.,,Cuscutaceae
CUPEG,CUPEG,,"Cuscuta pentagona Engelm. var. glabrior (Engelm.) Gandhi, R.D. Thomas & S.L. Hatch",bushclover dodder,Cuscutaceae
CUPEP2,CUPEP2,,Cuscuta pentagona Engelm. var. pentagona,fiveangled dodder,Cuscutaceae
CUPEP3,CUPEP3,,Cuscuta pentagona Engelm. var. pubescens (Engelm.) Yunck.,bushclover dodder,Cuscutaceae
CUPL2,CUAP2,CUPL2,Cuscuta planiflora Ten.,,Cuscutaceae
CUPO2,CUPO2,,Cuscuta potosina Schaffn.,globe dodder,Cuscutaceae
CUPOG,CUPOG,,Cuscuta potosina Schaffn. var. globifera Yunck.,globe dodder,Cuscutaceae
CUSA,CUSA,,Cuscuta salina Engelm.,saltmarsh dodder,Cuscutaceae
CUSAS,CUSAS,,Cuscuta salina Engelm. var. salina,saltmarsh dodder,Cuscutaceae
CUSQ,CUSQ,,Cuscuta squamata Engelm.,scaleflower dodder,Cuscutaceae
CUSU,CUSU,,Cuscuta suaveolens Ser.,fringed dodder,Cuscutaceae
CUTU,CUTU,,Cuscuta tuberculata Brandegee,tubercle dodder,Cuscutaceae
CUUM,CUUM,,Cuscuta umbellata Kunth,flatglobe dodder,Cuscutaceae
CUUMR,CUUM,CUUMR,Cuscuta umbellata Kunth var. reflexa (J.M. Coult.) Yunck.,,Cuscutaceae
CUUM2,CUGRG,CUUM2,Cuscuta umbrosa auct. non Bey. ex Hook.,,Cuscutaceae
CU6xx,,,Cuscuta unknown sp.,,Cuscutaceae
CUWA2,CUWA2,,Cuscuta warneri Yunck.,Warner's dodder,Cuscutaceae
CYCLA4,CYCLA4,,Cyclachaena Fresen.,carelessweed,Asteraceae
CYxx,,,Cyclachaena unknown sp.,,Asteraceae
CYXA,CYXA2,CYXA,"Cyclachaena xanthifolia (Nutt.) Fresen., orth. var.",,Asteraceae
CYXA2,CYXA2,,Cyclachaena xanthiifolia (Nutt.) Fresen.,Carelessweed,Asteraceae
CYGR16,CYGR16,,Cyclanthera gracillima Cogn.,slender cyclanthera,Cucurbitaceae
CYNA5,CYNA5,,Cyclanthera naudiniana Cogn.,Naudin's cyclanthera,Cucurbitaceae
CYCLA2,CYCLA2,,Cyclanthera Schrad.,cyclanthera,Cucurbitaceae
CY2xx,,,Cyclanthera unknown sp.,,Cucurbitaceae
CYAT,CYAT,,Cycloloma atriplicifolium (Spreng.) J.M. Coult.,winged pigweed,Chenopodiaceae
CYCLO,CYCLO,,Cycloloma Moq.,cycloloma,Chenopodiaceae
CY3xx,,,Cycloloma unknown sp.,,Chenopodiaceae
CYAM5,CYLE7,CYAM5,"Cyclospermum ammi Lag., non Sison ammi L.",,Apiaceae
CYCLO4,CYCLO4,,Cyclospermum Lag.,marsh parsley,Apiaceae
CYLE7,CYLE7,,Cyclospermum leptophyllum (Pers.) Sprague ex Britton & P. Wilson,marsh parsley,Apiaceae
CY4xx,,,Cyclospermum unknown sp.,,Apiaceae
CYLIN2,CYLIN2,,Cylindropuntia (Engelm.) Kreuzinger,cholla,Cactaceae
CYVI16,CYVI16,,Cylindropuntia ×viridiflora (Britton & Rose) F.M. Knuth (pro sp.) [imbricata × whipplei],rattail cholla,Cactaceae
CYDA4,CYDA4,,Cylindropuntia davisii (Engelm. & J.M. Bigelow) F.M. Knuth,thistle cholla,Cactaceae
CYFU10,CYFU10,,Cylindropuntia fulgida (Engelm.) F.M. Knuth,jumping cholla,Cactaceae
CYFUF,CYFUF,,Cylindropuntia fulgida (Engelm.) F.M. Knuth var. fulgida,jumping cholla,Cactaceae
CYIM2,CYIM2,,Cylindropuntia imbricata (Haw.) F.M. Knuth,tree cholla,Cactaceae
CYIMI,CYIMI,,Cylindropuntia imbricata (Haw.) F.M. Knuth var. imbricata,WALKINGSTICK CHOLLA,Cactaceae
CYKL,CYKL,,Cylindropuntia kleiniae (DC.) F.M. Knuth,candle cholla,Cactaceae
CYLE8,CYLE8,,Cylindropuntia leptocaulis (DC.) F.M. Knuth,tesajo cactus (christmastree cacti),Cactaceae
CYSP8,CYSP8,,Cylindropuntia spinosior (Engelm.) F.M. Knuth,walkingstick cactus,Cactaceae
CY5xx,,,Cylindropuntia unknown sp.,,Cactaceae
CYVE3,CYVE3,,Cylindropuntia versicolor (Engelm. ex J.M. Coult.) F.M. Knuth,staghorn cholla,Cactaceae
CYWH,CYWH,,Cylindropuntia whipplei (Engelm. & J.M. Bigelow) F.M. Knuth,Whipple cholla,Cactaceae
CYCY5,AECY,CYCY5,Cylindropyrum cylindricum (Host) Á. Löve,,Poaceae
CY6xx,,,Cylindropyrum unknown sp.,,Poaceae
CYAC,CYAC,,Cymopterus acaulis (Pursh) Raf.,plains springparsley,Apiaceae
CYACF,CYACF,,Cymopterus acaulis (Pursh) Raf. var. fendleri (A. Gray) Goodrich,Fendler's springparsley,Apiaceae
CYAL9,ORALA,CYAL9,Cymopterus alpinus A. Gray,,Apiaceae
CYBA8,ORBA,CYBA8,Cymopterus bakeri (J.M. Coult. & Rose) M.E. Jones,,Apiaceae
CYBU,CYBU,,Cymopterus bulbosus A. Nelson,bulbous springparsley,Apiaceae
CYCO22,CYCO22,,Cymopterus constancei R.L. Hartm.,Constance's springparsley,Apiaceae
CYFE,CYACF,CYFE,Cymopterus fendleri A. Gray,,Apiaceae
CYFI7,ALFI3,CYFI7,"Cymopterus filifolius (Mathias, Constance & W.L. Theob.) B.L. Turner",,Apiaceae
CYHA14,ALAC2,CYHA14,Cymopterus hallii (A. Gray) B.L. Turner,,Apiaceae
CYHE3,PTHE,CYHE3,Cymopterus hendersonii (J.M. Coult. & Rose) Cronquist,,Apiaceae
CYLE6,PSMO,CYLE6,Cymopterus lemmonii (J.M. Coult. & Rose) Dorn,,Apiaceae
CYLO10,PTHE,CYLO10,Cymopterus longilobus (Rydb.) W.A. Weber,,Apiaceae
CYLO15,PSLO3,CYLO15,"Cymopterus longiradiatus (Mathias, Constance & W.L. Theob.) B.L. Turner",,Apiaceae
CYMA25,ALMAM,CYMA25,Cymopterus macdougalii (J.M. Coult. & Rose) Tidestr.,,Apiaceae
CYMA,CYMA,,Cymopterus macrorhizus Buckley,bigroot springparsley,Apiaceae
CYMO,CYMO,,Cymopterus montanus Nutt. ex Torr. & A. Gray,mountain springparsley,Apiaceae
CYMU2,CYMU2,,Cymopterus multinervatus (J.M. Coult. & Rose) Tidestr.,purplenerve springparsley,Apiaceae
CYPE9,PTPE,CYPE9,Cymopterus petraeus M.E. Jones,,Apiaceae
CYPU,CYPU,,Cymopterus purpurascens (A. Gray) M.E. Jones,widewing springparsley,Apiaceae
CYPU2,CYPU2,,Cymopterus purpureus S. Watson,purple springparsley,Apiaceae
CYMOP2,CYMOP2,,Cymopterus Raf.,springparsley,Apiaceae
CYSP,CYSP,,Cymopterus spellenbergii R.L. Hartm. & J.E. Larson,Spellenberg's springparsley,Apiaceae
CYTEP,PTPE,CYTEP,Cymopterus terebinthinus (Hook.) Torr. & A. Gray var. petraeus (M.E. Jones) Goodrich,,Apiaceae
CY7xx,,,Cymopterus unknown sp.,,Apiaceae
CYAR12,CYAR12,,Cynanchum arizonicum (A. Gray) Shinners,Arizona swallowwort,Asclepiadaceae
CYNAN,CYNAN,,Cynanchum L.,swallow-wort,Asclepiadaceae
CY8xx,,,Cynanchum unknown sp.,,Asclepiadaceae
CYAN9,MISE3,CYAN9,Cynoctonum angustifolium (Torr. & A. Gray) Small,,Loganiaceae
CYSE,MISE3,CYSE,Cynoctonum sessilifolium J.F. Gmel.,,Loganiaceae
CYSEA,MISE3,CYSEA,Cynoctonum sessilifolium J.F. Gmel. var. angustifolium Torr. & A. Gray,,Loganiaceae
CYSEM,MISE3,CYSEM,Cynoctonum sessilifolium J.F. Gmel. var. microphyllum R.W. Long,,Loganiaceae
CY9xx,,,Cynoctonum unknown sp.,,Loganiaceae
CYAR16,CYDA,CYAR16,Cynodon aristiglumis Caro & Sánchez,,Poaceae
CYDA,CYDA,,Cynodon dactylon (L.) Pers.,bermudagrass,Poaceae
CYIN14,CYDA,CYIN14,Cynodon incompletus auct. non Nees,,Poaceae
CYNOD,CYNOD,,Cynodon Rich.,Bermudagrass,Poaceae
CY10xx,,,Cynodon unknown sp.,,Poaceae
CYNOG,CYNOG,,Cynoglossum L.,hound's tongue,Boraginaceae
CYOF,CYOF,,Cynoglossum officinale L.,gypsyflower,Boraginaceae
CY11xx,,,Cynoglossum unknown sp.,,Boraginaceae
CYNU5,LONU3,CYNU5,Cynomarathrum nuttallii (A. Gray) J.M. Coult. & Rose,,Apiaceae
CY12xx,,,Cynomarathrum unknown sp.,,Apiaceae
CYAE3,DAAE,CYAE3,Cynosurus aegyptius L.,,Poaceae
CYDU4,SCDU2,CYDU4,Cynosurus durus L.,,Poaceae
CYEC,CYEC,,Cynosurus echinatus L.,bristly dogstail grass,Poaceae
CYIN7,ELIN3,CYIN7,Cynosurus indicus L.,,Poaceae
CYNOS2,CYNOS2,,Cynosurus L.,dogstail grass,Poaceae
CY13xx,,,Cynosurus unknown sp.,,Poaceae
CY14xx,,,Cynthia unknown sp.,,Asteraceae
CYVI13,KRBIB,CYVI13,"Cynthia virginica (L.) D. Don, non Hyoseris virginica L.",,Asteraceae
CYVI14,KRBIV,CYVI14,Cynthia viridis Standl.,,Asteraceae
CYME2,CYSC3,CYME2,Cyperus ×mesochoreus Geise,,Cyperaceae
CYAC6,CYOD,CYAC6,Cyperus acicularis Schrad. ex Nees,,Cyperaceae
CYAG,CYAG,,Cyperus aggregatus (Willd.) Endl.,inflatedscale flatsedge,Cyperaceae
CYAL,CYFL5,CYAL,Cyperus albomarginatus (Mart. & Schrad. ex Nees) Steud.,,Cyperaceae
CYAR3,CYSQ,CYAR3,Cyperus aristatus Rottb.,,Cyperaceae
CYARR,CYSQ,CYARR,Cyperus aristatus Rottb. var. runyonii O'Neill,,Cyperaceae
CYBI6,CYBI6,,Cyperus bipartitus Torr.,slender flatsedge,Cyperaceae
CYBL2,CYRER2,CYBL2,Cyperus blodgettii Britton,,Cyperaceae
CYCA17,CYAG,CYCA17,"Cyperus cayennensis (Lam.) Britton, non Willd. ex Link",,Cyperaceae
CYCO,CYCO,,Cyperus compressus L.,poorland flatsedge,Cyperaceae
CYCY4,CYRER2,CYCY4,Cyperus cylindricus (Elliott) Britton,,Cyperaceae
CYDE14,CYRER2,CYDE14,Cyperus deeringianus Britton ex Small,,Cyperaceae
CYDIC,CYNI2,CYDIC,Cyperus diandrus Torr. var. capitatus Britton,,Cyperaceae
CYDI15,CYDI15,,Cyperus dipsaceus Liebm.,Wright's flatsedge,Cyperaceae
CYEC2,CYEC2,,Cyperus echinatus (L.) Alph. Wood,globe flatsedge,Cyperaceae
CYEG,CYOD,CYEG,Cyperus eggersii Boeckeler,,Cyperaceae
CYEL,CYEL,,Cyperus elegans L.,royal flatsedge,Cyperaceae
CYEN,CYOD,CYEN,Cyperus engelmannii Steud.,,Cyperaceae
CYER2,CYER2,,Cyperus erythrorhizos Muhl.,redroot flatsedge,Cyperaceae
CYES,CYES,,Cyperus esculentus L.,chufa flatsedge,Cyperaceae
CYESA,CYESL,CYESA,Cyperus esculentus L. var. angustispicatus Britton,,Cyperaceae
CYESL,CYESL,,Cyperus esculentus L. var. leptostachyus Boeckeler,yellow nutsedge,Cyperaceae
CYESM,CYESM,,Cyperus esculentus L. var. macrostachyus Boeckeler,yellow nutsedge,Cyperaceae
CYFE2,CYFE2,,Cyperus fendlerianus Boeckeler,Fendler's flatsedge,Cyperaceae
CYFED,CYSP7,CYFED,Cyperus fendlerianus Boeckeler var. debilis (Britton) Kük.,,Cyperaceae
CYFE3,CYOD,CYFE3,Cyperus ferax Rich.,,Cyperaceae
CYFE4,CYOD,CYFE4,Cyperus ferruginescens Boeckeler,,Cyperaceae
CYFL5,CYFL5,,Cyperus flavicomus Michx.,whiteedge flatsedge,Cyperaceae
CYFL9,CYAG,CYFL9,"Cyperus flavus (Vahl) Nees, non J. Presl & C. Presl",,Cyperaceae
CYHA8,CYER2,CYHA8,Cyperus halei Torr. ex Britton,,Cyperaceae
CYHA10,CYSE3,CYHA10,Cyperus hallii Britton,,Cyperaceae
CYHA9,CYST,CYHA9,Cyperus hansenii Britton,,Cyperaceae
CYHU5,CYAG,CYHU5,Cyperus huarmensis (Kunth) M.C. Johnst.,,Cyperaceae
CYIN9,CYSQ,CYIN9,Cyperus inflexus Muhl.,,Cyperaceae
CYPER,CYPER,,Cyperus L.,FLATSEDGE,Cyperaceae
CYLI10,CYRER2,CYLI10,Cyperus litoreus (C.B. Clarke) Britton,,Cyperaceae
CYLO9,CYOD,CYLO9,Cyperus longispicatus J.B.S. Norton,,Cyperaceae
CYLU3,CYESM,CYLU3,Cyperus lutescens Torr. & Hook.,,Cyperaceae
CYMA20,CYOD,CYMA20,Cyperus macrocephalus Liebm.,,Cyperaceae
CYMAE2,CYOD,CYMAE2,"Cyperus macrocephalus Liebm. var. eggersii (Boeckeler) S.D. Jones, Wipff & R. Carter",,Cyperaceae
CYME11,CYNI2,CYME11,Cyperus melanostachyus Kunth,,Cyperaceae
CYNA3,CYRER2,CYNA3,Cyperus nashii Britton,,Cyperaceae
CYNI2,CYNI2,,Cyperus niger Ruiz & Pav.,black flatsedge,Cyperaceae
CYNIC,CYNI2,CYNIC,Cyperus niger Ruiz & Pav. var. capitatus (Britton) O'Neill,,Cyperaceae
CYNIC2,CYNI2,CYNIC2,Cyperus niger Ruiz & Pav. var. castaneus (Pursh) Kük.,,Cyperaceae
CYNIR,CYBI6,CYNIR,Cyperus niger Ruiz & Pav. var. rivularis (Kunth) V.E. Grant,,Cyperaceae
CYOB5,CYAG,CYOB5,Cyperus obesus Liebm.,,Cyperaceae
CYOD,CYOD,,Cyperus odoratus L.,fragrant flatsedge,Cyperaceae
CYODA,CYOD,CYODA,Cyperus odoratus L. var. acicularis (Schrad. ex Nees) O'Neill,,Cyperaceae
CYODE,CYOD,CYODE,Cyperus odoratus L. var. engelmannii (Steud.) R. Carter & S.D. Jones,,Cyperaceae
CYODS,CYOD,CYODS,"Cyperus odoratus L. var. squarrosus (Britton) S.D. Jones, Wipff & R. Carter",,Cyperaceae
CYOV,CYEC2,CYOV,Cyperus ovularis (Michx.) Torr.,,Cyperaceae
CYOVC,CYRER2,CYOVC,Cyperus ovularis (Michx.) Torr. var. cylindricus (Elliott) Torr.,,Cyperaceae
CYOVS,CYEC2,CYOVS,Cyperus ovularis (Michx.) Torr. var. sphaericus Boeckeler,,Cyperaceae
CYPA24,CYPA24,,Cyperus pallidicolor (Kük.) G. Tucker,pallid flatsedge,Cyperaceae
CYPA4,CYPA4,,Cyperus parishii Britton,Parish's flatsedge,Cyperaceae
CYPR12,CYSE3,CYPR12,Cyperus praelongatus Steud.,,Cyperaceae
CYRE14,CYRE14,,Cyperus retroflexus Buckley,oneflower flatsedge,Cyperaceae
CYRE5,CYRE5,,Cyperus retrorsus Chapm.,pine barren flatsedge,Cyperaceae
CYREC,CYRER2,CYREC,Cyperus retrorsus Chapm. var. cylindricus (Elliott) Fernald & Grisc.,,Cyperaceae
CYRED2,CYRER2,CYRED2,Cyperus retrorsus Chapm. var. deeringianus (Britton ex Small) Fernald ex Grisc.,,Cyperaceae
CYREN,CYRER2,CYREN,Cyperus retrorsus Chapm. var. nashii (Britton) Fernald & Grisc.,,Cyperaceae
CYRER2,CYRER2,,Cyperus retrorsus Chapm. var. retrorsus,pine barren flatsedge,Cyperaceae
CYRI,CYBI6,CYRI,Cyperus rivularis Kunth,,Cyperaceae
CYRU,CYSP7,CYRU,Cyperus rusbyi Britton,,Cyperaceae
CYSA4,CYFL5,CYSA4,Cyperus sabulosus (Mart. & Schrad. ex Nees) Steud.,,Cyperaceae
CYSC3,CYSC3,,Cyperus schweinitzii Torr.,Schweinitz's flatsedge,Cyperaceae
CYSCU,CYSC3,CYSCU,Cyperus schweinitzii Torr. var. uberior Kük.,,Cyperaceae
CYSE6,KYOD,CYSE6,Cyperus sesquiflorus (Torr.) Mattf. & Kük. ex Kük.,,Cyperaceae
CYSE3,CYSE3,,Cyperus setigerus Torr. & Hook.,lean flatsedge,Cyperaceae
CYSP6,CYOD,CYSP6,Cyperus speciosus Vahl,,Cyperaceae
CYSPS2,CYOD,CYSPS2,Cyperus speciosus Vahl var. squarrosus Britton,,Cyperaceae
CYSP7,CYSP7,,Cyperus sphaerolepis Boeckeler,Rusby's flatsedge,Cyperaceae
CYSQ,CYSQ,,Cyperus squarrosus L.,bearded flatsedge,Cyperaceae
CYSQR,CYSQ,CYSQR,Cyperus squarrosus L. var. runyonii (O'Neill) S.D. Jones & Wipff,,Cyperaceae
CYST2,CYST,CYST2,Cyperus stenolepis Torr.,,Cyperaceae
CYST,CYST,,Cyperus strigosus L.,strawcolored flatsedge,Cyperaceae
CYSTC,CYST,CYSTC,Cyperus strigosus L. var. capitatus Boeckeler,,Cyperaceae
CYSTM,CYST,CYSTM,Cyperus strigosus L. var. multiflorus Geise,,Cyperaceae
CYSTR,CYST,CYSTR,Cyperus strigosus L. var. robustior Britton,,Cyperaceae
CYSTS,CYST,CYSTS,Cyperus strigosus L. var. stenolepis (Torr.) Kük.,,Cyperaceae
CYTE5,CYTE5,,Cyperus tetragonus Elliott,fourangle flatsedge,Cyperaceae
CYTO,CYRER2,CYTO,Cyperus torreyi Britton,,Cyperaceae
CYUN2,CYRE14,CYUN2,"Cyperus uniflorus Torr. & Hook., non Thunb.",,Cyperaceae
CY15xx,,,Cyperus unknown sp.,,Cyperaceae
CYWI5,CYRER2,CYWI5,Cyperus winkleri Britton ex Small,,Cyperaceae
CYWR,CYDI15,CYWR,Cyperus wrightii Britton,,Cyperaceae
CYGY,CYGY,,Cyphomeris gypsophiloides (M. Martens & Galeotti) Standl.,red cyphomeris,Nyctaginaceae
CYGYS,CYGY,CYGYS,Cyphomeris gypsophiloides (M. Martens & Galeotti) Standl. var. stewartii I.M. Johnst.,,Nyctaginaceae
CYPHO,CYPHO,,Cyphomeris Standl.,cyphomeris,Nyctaginaceae
CY16xx,,,Cyphomeris unknown sp.,,Nyctaginaceae
CYCAP4,CYPAP3,CYCAP4,Cypripedium calceolus L. var. planipetalum (Fernald) Vict. & J. Rousseau,,Orchidaceae
CYCAP2,CYPAP3,CYCAP2,Cypripedium calceolus L. var. pubescens (Willd.) Correll,,Orchidaceae
CYFU7,CYPAP3,CYFU7,Cypripedium furcatum Raf.,,Orchidaceae
CYPRI,CYPRI,,Cypripedium L.,lady's slipper,Orchidaceae
CYPA19,CYPA19,,Cypripedium parviflorum Salisb.,lesser yellow lady's slipper,Orchidaceae
CYPAP3,CYPAP3,,Cypripedium parviflorum Salisb. var. pubescens (Willd.) Knight,greater yellow lady's slipper,Orchidaceae
CYPL8,CYPAP3,CYPL8,Cypripedium planipetalum (Fernald) Morris & Eames,,Orchidaceae
CYPU10,CYPAP3,CYPU10,Cypripedium pubescens Willd.,,Orchidaceae
CYPUP,CYPAP3,CYPUP,Cypripedium pubescens Willd. var. pubescens,,Orchidaceae
CY17xx,,,Cypripedium unknown sp.,,Orchidaceae
CYAU,PHAU2,CYAU,Cyrtomium auriculatum (Underw.) Morton,,Dryopteridaceae
CY18xx,,,Cyrtomium unknown sp.,,Dryopteridaceae
CYCY9,RACY,CYCY9,Cyrtorhyncha cymbalaria (Pursh) Britton,,Ranunculaceae
CYCYA,RACY,CYCYA,Cyrtorhyncha cymbalaria (Pursh) Britton ssp. alpina (Hook.) Á. Löve & D. Löve,,Ranunculaceae
CYRA6,RARA,CYRA6,Cyrtorhyncha ranunculina Nutt.,,Ranunculaceae
CY19xx,,,Cyrtorhyncha unknown sp.,,Ranunculaceae
CYSTO,CYSTO,,Cystopteris Bernh.,bladderfern,Dryopteridaceae
CYBU3,CYBU3,,Cystopteris bulbifera (L.) Bernh.,bulblet bladderfern,Dryopteridaceae
CYDI10,CYFR2,CYDI10,Cystopteris dickieana Sim,,Dryopteridaceae
CYFR2,CYFR2,,Cystopteris fragilis (L.) Bernh.,brittle bladderfern,Dryopteridaceae
CYFRD,CYFR2,CYFRD,Cystopteris fragilis (L.) Bernh. ssp. dickieana (Sim) Hyl.,,Dryopteridaceae
CYFRA,CYFR2,CYFRA,Cystopteris fragilis (L.) Bernh. var. angustata G. Lawson,,Dryopteridaceae
CYFRM,CYTE7,CYFRM,Cystopteris fragilis (L.) Bernh. var. mackayi G. Lawson,,Dryopteridaceae
CYFRT,CYRE15,CYFRT,Cystopteris fragilis (L.) Bernh. var. tenuifolia (Clute) Broun,,Dryopteridaceae
CYFRW,CYFR2,CYFRW,Cystopteris fragilis (L.) Bernh. var. woodsioides Christ,,Dryopteridaceae
CYRE15,CYRE15,,Cystopteris reevesiana Lellinger,Reeves' bladderfern,Dryopteridaceae
CYTE7,CYTE7,,Cystopteris tenuis (Michx.) Desv.,upland brittle bladderfern,Dryopteridaceae
CY20xx,,,Cystopteris unknown sp.,,Dryopteridaceae
CYUT2,CYUT2,,Cystopteris utahensis Windham & Haufler,Utah bladderfern,Dryopteridaceae
CYBU5,CABUA,CYBU5,Cytherea bulbosa (L.) House p.p.,,Orchidaceae
CY21xx,,,Cytherea unknown sp.,,Orchidaceae
DAGL,DAGL,,Dactylis glomerata L.,orchardgrass,Poaceae
DAGLG,DAGLG,,Dactylis glomerata L. ssp. glomerata,orchardgrass,Poaceae
DAGLC,DAGLG,DAGLC,Dactylis glomerata L. var. ciliata Peterm.,,Poaceae
DAGLD,DAGLG,DAGLD,Dactylis glomerata L. var. detonsa Fr.,,Poaceae
DAGLV,DAGLG,DAGLV,Dactylis glomerata L. var. vivipara Parl.,,Poaceae
DACTY,DACTY,,Dactylis L.,orchardgrass,Poaceae
DAxx,,,Dactylis unknown sp.,,Poaceae
DAAE,DAAE,,Dactyloctenium aegyptium (L.) Willd.,Durban crowsfoot grass,Poaceae
DA2xx,,,Dactyloctenium unknown sp.,,Poaceae
DACTY2,DACTY2,,Dactyloctenium Willd.,crowfoot grass,Poaceae
DACTY3,DACTY3,,Dactylorhiza Neck. ex Nevski,keyflower,Orchidaceae
